dateTime,Temperature,TOTALDEMAND
2014-01-01 00:00:00,16.7,4993.52
2014-01-01 00:30:00,16.6,4656.03
2014-01-01 01:00:00,16.4,4373.04
2014-01-01 01:30:00,16.7,4175.32
2014-01-01 02:00:00,16.5,4003.35
2014-01-01 02:30:00,16.2,3841.74
2014-01-01 03:00:00,15.8,3711.1
2014-01-01 03:30:00,15.7,3639.31
2014-01-01 04:00:00,15.7,3576.27
2014-01-01 04:30:00,15.8,3591.05
2014-01-01 05:00:00,15.8,3606.73
2014-01-01 05:30:00,16.3,3616.21
2014-01-01 06:00:00,16.6,3641.2
2014-01-01 06:30:00,17.1,3759.78
2014-01-01 07:00:00,17.3,3850.59
2014-01-01 07:30:00,17.9,3883.11
2014-01-01 08:00:00,18.3,4037.1
2014-01-01 08:30:00,19.6,4075.31
2014-01-01 09:00:00,20,4163.49
2014-01-01 09:30:00,22.8,4222.86
2014-01-01 10:00:00,22.5,4299.33
2014-01-01 10:30:00,23.1,4335.77
2014-01-01 11:00:00,24,4394.16
2014-01-01 11:30:00,24.8,4495.13
2014-01-01 12:00:00,26.3,4497.75
2014-01-01 12:30:00,25.9,4420.02
2014-01-01 13:00:00,25.5,4404.83
2014-01-01 13:30:00,25.2,4417.65
2014-01-01 14:00:00,23.8,4439.53
2014-01-01 14:30:00,23.5,4474.24
2014-01-01 15:00:00,21.1,4461.05
2014-01-01 15:30:00,19.2,4478.89
2014-01-01 16:00:00,18.8,4574.86
2014-01-01 16:30:00,19.2,4643.53
2014-01-01 17:00:00,20.5,4791.69
2014-01-01 17:30:00,23.7,4821.54
2014-01-01 18:00:00,23.1,4769.88
2014-01-01 18:30:00,23,4658.25
2014-01-01 19:00:00,22,4633.15
2014-01-01 19:30:00,23.4,4610.65
2014-01-01 20:00:00,22.5,4731.78
2014-01-01 20:30:00,22.5,4744.62
2014-01-01 21:00:00,22.5,4678.67
2014-01-01 21:30:00,22.3,4518.4
2014-01-01 22:00:00,22.5,4322.05
2014-01-01 22:30:00,22.4,4275.68
2014-01-01 23:00:00,21.7,4366.34
2014-01-01 23:30:00,20,4782.16
2014-01-02 00:00:00,19.5,4888.32
2014-01-02 00:30:00,19.2,4597.07
2014-01-02 01:00:00,18.5,4320.07
2014-01-02 01:30:00,18,4140.04
2014-01-02 02:00:00,17.1,4032.88
2014-01-02 02:30:00,16.7,3957.86
2014-01-02 03:00:00,16.1,3869.57
2014-01-02 03:30:00,15.8,3854.26
2014-01-02 04:00:00,15.6,3844.01
2014-01-02 04:30:00,15.5,3910.72
2014-01-02 05:00:00,15.3,3957.56
2014-01-02 05:30:00,15.3,4093.86
2014-01-02 06:00:00,15.1,4290.13
2014-01-02 06:30:00,15.1,4488.52
2014-01-02 07:00:00,15.2,4695.52
2014-01-02 07:30:00,15.5,4635.02
2014-01-02 08:00:00,16,4791.81
2014-01-02 08:30:00,17,4895.36
